athlete_id,name,country_id
1,Mikael KINGSBURY,4
2,Walter WALLBERG,7
3,David WISE,3
4,Alex FERREIRA,3
5,Henrik HARLAUT,7
6,Birk RUUD,1
7,Colby STEVENSON,3
8,Alex FIVA,10
9,Ryan REGEZ,10
10,Mathilde GREMAUD,10
11,Tess LEDEUX,8
12,Jaelin KAUF,3
13,Marielle THOMPSON,4
14,Sandra NAESLUND,7
15,Daniela MAIER,2
16,Megan NICK,3
17,Cassie SHARPE,4
18,Rachel KARKER,4
19,Nicholas GOEPPER,3
20,Jesper TJADER,7
21,Alexander HALL,3
22,Suzanne SCHULTING,5
23,Kim BOUTIN,4
24,Steven DUBOIS,4
25,Chloe KIM,3
26,Meryeta ODINE,4
27,Chloe TRESPEUCH,8
28,Lindsey JACOBELLIS,3
29,Benjamin KARL,6
30,Anna GASSER,6
31,Eliot GRONDIN,4
32,Alessandro HAEMMERLE,6
33,Max PARROT,4
34,Mark MCMORRIS,4
35,Jan SCHERRER,10
36,Julia MARINO,3
37,Daniela ULBING,6
38,Mons ROISLAND,1
39,Marius LINDVIK,1
40,Karl GEIGER,2
41,Katharina ALTHAUS,2
42,Manuel FETTNER,6
43,Nathan CHEN,3
44,Wolfgang KINDL,6
45,Johannes LUDWIG,2
46,Anna BERREITER,2
47,Natalie GEISENBERGER,2
48,Quentin FILLON MAILLET,8
49,Tarjei BOE,1
50,Tiril ECKHOFF,1
51,Justine BRAISAZ,8
52,Marte Olsbu ROEISELAND,1
53,Elvira OEBERG,7
54,Johannes Thingnes BOE,1
55,Martin PONSILUOMA,7
56,Vetle Sjaastad CHRISTIANSEN,1
57,Denise HERRMANN,2
58,Anais CHEVALIER,8
59,Clement NOEL,8
60,Johannes STROLZ,6
61,Sebastian FOSS-SOLEVAAG,1
62,Beat FEUZ,10
63,Johan CLAREY,8
64,Matthias MAYER,6
65,Mirjam PUCHNER,6
66,Michelle GISIN,10
67,Lara GUT - BEHRAMI,10
68,Aleksander Aamodt KILDE,1
69,Ryan COCHRAN-SIEGLE,3
70,Corinne SUTER,10
71,James CRAWFORD,4
72,Mathieu FAIVRE,8
73,Marco ODERMATT,10
74,Sara HECTOR,7
75,Wendy HOLDENER,10
76,Katharina LIENSBERGER,6
77,Hannah NEISE,2
78,Kimberley BOS,5
79,Axel JUNGK,2
80,Christopher GROTHEER,2
81,Maja DAHLQVIST,7
82,Jessica DIGGINS,3
83,Jonna SUNDLING,7
84,Teresa STADLOBER,6
85,Therese JOHAUG,1
86,Simen Hegstad KRUEGER,1
87,Johannes Hoesflot KLAEBO,1
88,Kjeld NUIS,5
89,Thomas KROL,5
90,Jutta LEERDAM,5
91,Brittany BOWE,3
92,Laurent DUBREUIL,4
93,Havard LORENTZEN,1
94,Ivanie BLONDIN,4
95,Irene SCHOUTEN,5
96,Patrick ROEST,5
97,Nils VAN DER POEL,7
98,Hallgeir ENGEBRAATEN,1
99,Isabelle WEIDEMANN,4
100,Antoinette DE JONG,5
101,Erin JACKSON,3
102,Joergen GRAABAK,1
103,Vinzenz GEIGER,2
104,Lukas GREIDERER,6
105,Jens Luraas OFTEBRO,1
106,Elana MEYERS TAYLOR,3
107,Christine DE BRUIN,4
108,Kaillie HUMPHRIES,3
109,Jacqueline LOELLING,2
110,Sven KRAMER,5
111,Ted-Jan BLOEMEN,4
112,Sverre Lunde PEDERSEN,1
113,Jorrit BERGSMA,5
114,Carlijn ACHTEREEKTE,5
115,Esmee VISSER,5
116,Marrit LEENSTRA,5
117,Koen VERWEIJ,5
118,Jorien TER MORS,5
119,Dominik LANDERTINGER,6
120,Hanna OEBERG,7
121,Laura DAHLMEIER,2
122,Arnd PEIFFER,2
123,Martin FOURCADE,8
124,Sebastian SAMUELSSON,7
125,Benedikt DOLL,2
126,Marte OLSBU,1
127,Anais BESCOND,8
128,Simon SCHEMPP,2
129,Emil Hegle SVENDSEN,1
130,Pierre VAULTIER,8
131,Sebastien TOUTANT,4
132,Kyle MACK,3
133,Jamie ANDERSON,3
134,Laurie BLOUIN,4
135,Julia PEREIRA DE SOUSA MABILEAU,8
136,Arielle Gold,3
137,Selina JOERG,2
138,Ramona Theresia HOFMEISTER,2
139,Nevin GALMARINI,10
140,Shaun WHITE,3
141,Redmond GERARD,3
142,Sarah HOEFFLIN,10
143,Perrine LAFFONT,8
144,Justine DUFOUR-LAPOINTE,4
145,Kelsey SERWA,4
146,Brittany PHELAN,4
147,Fanny SMITH,10
148,Marie MARTINOD,8
149,Brita SIGOURNEY,3
150,Brady LEMAN,4
151,Marc BISCHOFBERGER,10
152,Alex BEAULIEU-MARCHAND,4
153,Johannes RYDZEK,2
154,Fabian RIESSLE,2
155,Eric FRENZEL,2
156,Lukas KLAPFER,6
157,Kaetlyn OSMOND,4
158,Andreas WELLINGER,2
159,Robert JOHANSSON,1
160,Maren LUNDBY,1
161,Johann Andre FORFANG,1
162,Yara VAN KERKHOF,5
163,Samuel GIRARD,4
164,John-Henry KRUEGER,3
165,Sjinkie KNEGT,5
166,Mikaela SHIFFRIN,3
167,Marcel HIRSCHER,6
168,Alexis PINTURAULT,8
169,Victor MUFFAT-JEANDET,8
170,Henrik KRISTOFFERSEN,1
171,Andre MYHRER,7
172,Ramon ZENHAEUSERN,10
173,Michael MATT,6
174,Kjetil JANSRUD,1
175,Frida HANSDOTTER,7
176,Katharina GALLHUBER,6
177,Ragnhild MOWINCKEL,1
178,Lindsey VONN,3
179,Aksel Lund SVINDAL,1
180,Anna VEITH,6
181,Dajana EITBERGER,2
182,Alex GOUGH,4
183,David GLEIRSCHER,6
184,Chris MAZDZER,3
185,Dario COLOGNA,10
186,Ragnhild HAGA,1
187,Charlotte KALLA,7
188,Marit BJOERGEN,1
189,Martin Johnsrud SUNDBY,1
190,Hans Christer HOLUND,1
191,Stina NILSSON,7
192,Maiken Caspersen FALLA,1
193,Jean Guillaume BEATRIX,8
194,Erik LESSER,2
195,Evgeniy GARANICHEV,9
196,Tora BERGER,1
197,Selina GASPARIN,10
198,Magnus KROG,1
199,Magnus Hovdal MOAN,1
200,Nicole HOSP,6
201,Andrew WEIBRECHT,3
202,Jan HUDEC,4
203,Bode MILLER,3
204,Julia MANCUSO,3
205,Viktoria REBENSBURG,2
206,Ted LIGETY,3
207,Steve MISSILLIER,8
208,Dominique GISIN,10
209,Marlies SCHILD,6
210,Kathrin ZETTEL,6
211,Sandro VILETTA,10
212,Mario MATT,6
213,Charles HAMELIN,4
214,Victor AN,9
215,Vladimir GRIGOREV,9
216,Charle COURNOYER,4
217,Jan BLOKHUIJSEN,5
218,Carien KLEIBEUKER,5
219,Stefan GROOTHUIS,5
220,Denny MORRISON,4
221,Michel MULDER,5
222,Olga GRAF,9
223,Lotte VAN BEEK,5
224,Olga FATKULINA,9
225,Margot BOER,5
226,Jan SMEEKENS,5
227,Ronald MULDER,5
228,Bob Johannes Carolus DE JONG,5
229,Marcus HELLNER,7
230,Ola Vigen HATTESTAD,1
231,Teodor PETERSON,7
232,Emil JOENSSON,7
233,Heidi WENG,1
234,Alexander LEGKOV,9
235,Maxim VYLEGZHANIN,9
236,Ilia CHERNOUSOV,9
237,Johan OLSSON,7
238,Daniel RICKARDSSON,7
239,Ingvild Flugstad OESTBERG,1
240,Kristin Stoermer STEIRA,1
241,Adelina SOTNIKOVA,9
242,Patrick CHAN,4
243,Anders BARDAL,1
244,Carina VOGT,2
245,Daniela IRASCHKO-STOLZ,6
246,Coline MATTEL,8
247,Julia DUJMOVITS,6
248,Anke WOEHRER,2
249,Amelie KOBER,2
250,Kaitlyn FARRINGTON,3
251,Kelly CLARK,3
252,Patrizia KUMMER,10
253,Alena ZAVARZINA,9
254,Dominique MALTAIS,4
255,Vic WILD,9
256,Iouri Podladtchikov,10
257,Sage KOTSENBURG,3
258,Staale SANDBECH,1
259,Nikolay OLYUNIN,9
260,Alex DEIBOLD,3
261,Alexander TRETYAKOV,9
262,Matt ANTOINE,3
263,Noelle PIKUS-PACE,3
264,Elena NIKITINA,9
265,Tatjana HUEFNER,2
266,Erin HAMLIN,3
267,Felix LOCH,2
268,Albert DEMCHENKO,9
269,Jean Frederic CHAPUIS,8
270,Arnaud BOVOLENTA,8
271,Jonathan MIDOL,8
