event_id,sport_id,name
1,1,Men's Moguls
2,1,Men's Freeski Halfpipe
3,1,Men's Freeski Big Air
4,1,Men's Ski Cross
5,1,Women's Freeski Big Air
6,1,Women's Moguls
7,1,Women's Ski Cross
8,1,Women's Aerials
9,1,Women's Freeski Halfpipe
10,1,Women's Freeski Slopestyle
11,1,Men's Freeski Slopestyle
12,2,Women's 500m
13,2,Men's 500m
14,2,Men's 1500m
15,2,Women's 1000m
16,2,Women's 1500m
17,3,Women's Snowboard Halfpipe
18,3,Women's Snowboard Cross
19,3,Men's Parallel Giant Slalom
20,3,Women's Snowboard Big Air
21,3,Men's Snowboard Cross
22,3,Men's Snowboard Slopestyle
23,3,Men's Snowboard Halfpipe
24,3,Women's Snowboard Slopestyle
25,3,Women's Parallel Giant Slalom
26,3,Men's Snowboard Big Air
27,4,Men's LH Individual
28,4,Women's NH Individual
29,4,Men's NH Individual
30,5,Men Single Skating
31,6,Men's Singles
32,6,Women's Singles
33,7,Men's 12.5km Pursuit
34,7,Women's 12.5km Mass Start
35,7,Women's 10km Pursuit
36,7,Men's 10km Sprint
37,7,Women's 7.5km Sprint
38,7,Men's 15km Mass Start
39,7,Men's 20km Individual
40,7,Women's 15km Individual
41,8,Men's Slalom
42,8,Men's Downhill
43,8,Women's Super-G
44,8,Men's Super-G
45,8,Women's Downhill
46,8,Men's Alpine Combined
47,8,Men's Giant Slalom
48,8,Women's Giant Slalom
49,8,Women's Alpine Combined
50,8,Women's Slalom
51,9,Women
52,9,Men
53,10,Women's Sprint Free
54,10,Women's 7.5km + 7.5km Skiathlon
55,10,Women's 30km Mass Start Free
56,10,Women's 10km Classic
57,10,Men's 50km Mass Start Free
58,10,Men's 15km Classic
59,10,Men's Sprint Free
60,11,Men's 1500m
61,11,Women's 1000m
62,11,Men's 1000m
63,11,Women's Mass Start
64,11,Men's 5000m
65,11,Women's 5000m
66,11,Women's 3000m
67,11,Men's 10000m
68,11,Women's 1500m
69,11,Women's 500m
70,12,Men Individual Gundersen Normal Hill/10km
71,12,Men Individual Gundersen Large Hill/10km
72,13,Women's Monobob
73,11,Men 5000m
74,11,Women Ladies Mass Start
75,11,Men 500m
76,11,Men 10000m
77,11,Men 1500m
78,11,Women Ladies 3000m
79,11,Men 1000m
80,11,Women Ladies 5000m
81,11,Women Ladies 1500m
82,11,Men Mass Start
83,11,Women Ladies 1000m
84,7,Men 20km Individual
85,7,Women 15km Individual
86,7,Men 10km Sprint
87,7,Men 12.5km Pursuit
88,7,Women 7.5km Sprint
89,7,Women 12.5km Mass Start
90,7,Women 10km Pursuit
91,7,Men 15km Mass Start
92,3,Men Snowboard Cross
93,3,Men Big Air
94,3,Women Ladies Slopestyle
95,3,Women Ladies Snowboard Cross
96,3,Women Ladies Halfpipe
97,3,Women Ladies Parallel Giant Slalom
98,3,Men Parallel Giant Slalom
99,3,Men Halfpipe
100,3,Men Slopestyle
101,3,Women Ladies Big Air
102,1,Women Ladies Ski Slopestyle
103,1,Men Ski Halfpipe
104,1,Women Ladies Moguls
105,1,Men Moguls
106,1,Women Ladies Ski Cross
