country_id,olympic_id,BRONZE,GOLD,SILVER,total,country_name,year,city
1,1,3,5,5,13,Norway,2010,Vancouver
1,2,4,3,10,17,Norway,2014,Sochi
1,3,6,11,12,29,Norway,2018,PyeongChang
1,4,13,11,4,28,Norway,2022,Beijing
2,1,9,3,6,18,Germany,2010,Vancouver
2,2,1,5,3,9,Germany,2014,Sochi
2,3,6,7,3,16,Germany,2018,PyeongChang
2,4,2,7,4,13,Germany,2022,Beijing
3,1,5,8,6,19,United States,2010,Vancouver
3,2,11,7,9,27,United States,2014,Sochi
3,3,2,6,8,16,United States,2018,PyeongChang
3,4,5,5,8,18,United States,2022,Beijing
4,1,3,4,5,12,Canada,2010,Vancouver
4,2,4,10,10,24,Canada,2014,Sochi
4,3,5,8,7,20,Canada,2018,PyeongChang
4,4,8,1,9,18,Canada,2022,Beijing
5,1,2,2,2,6,Netherlands,2010,Vancouver
5,2,5,6,4,15,Netherlands,2014,Sochi
5,3,5,6,4,15,Netherlands,2018,PyeongChang
5,4,3,6,5,14,Netherlands,2022,Beijing
6,1,6,4,5,15,Austria,2010,Vancouver
6,2,6,6,1,13,Austria,2014,Sochi
6,3,2,4,4,10,Austria,2018,PyeongChang
6,4,2,6,6,14,Austria,2022,Beijing
7,1,2,2,2,6,Sweden,2010,Vancouver
7,2,6,5,3,14,Sweden,2014,Sochi
7,3,3,3,1,7,Sweden,2018,PyeongChang
7,4,2,6,4,12,Sweden,2022,Beijing
8,1,3,10,4,17,France,2010,Vancouver
8,2,3,4,3,10,France,2014,Sochi
8,3,3,6,3,12,France,2018,PyeongChang
8,4,1,4,5,10,France,2022,Beijing
9,1,6,4,2,12,Russia,2010,Vancouver
9,2,9,6,4,19,Russia,2014,Sochi
10,1,3,1,4,8,Switzerland,2010,Vancouver
10,2,5,1,2,8,Switzerland,2014,Sochi
10,3,3,4,5,12,Switzerland,2018,PyeongChang
10,4,5,7,2,14,Switzerland,2022,Beijing
11,1,2,6,5,13,Republic of Korea,2010,Vancouver
11,2,2,2,2,6,Republic of Korea,2014,Sochi
11,3,4,4,5,13,Republic of Korea,2018,PyeongChang
11,4,2,2,3,7,Republic of Korea,2022,Beijing
