athlete_url,athlete_full_name,games_participations,first_game,athlete_year_birth,athlete_medals,bio
https://olympics.com/en/athletes/cooper-woods-topalovic,Cooper WOODS-TOPALOVIC,1,Beijing 2022,2000,,
https://olympics.com/en/athletes/elofsson,Felix ELOFSSON,2,PyeongChang 2018,1995,,
https://olympics.com/en/athletes/dylan-walczyk,Dylan WALCZYK,1,Beijing 2022,1993,,
https://olympics.com/en/athletes/olli-penttala,Olli PENTTALA,1,Beijing 2022,1995,,
https://olympics.com/en/athletes/reikherd,Dmitriy REIKHERD,1,Beijing 2022,1989,,
https://olympics.com/en/athletes/matt-graham,Matt GRAHAM,3,Sochi 2014,1994,"


1

S

",
https://olympics.com/en/athletes/ikuma-horishima,Ikuma HORISHIMA,2,PyeongChang 2018,1997,"


1

B

",
https://olympics.com/en/athletes/daichi-hara,Daichi HARA,2,PyeongChang 2018,1997,"


1

B

",
https://olympics.com/en/athletes/laurent-dumais,Laurent DUMAIS,1,Beijing 2022,1996,,
https://olympics.com/en/athletes/james-matheson,James MATHESON,2,PyeongChang 2018,1995,,
https://olympics.com/en/athletes/pavel-kolmakov,Pavel KOLMAKOV,3,Sochi 2014,1996,,
https://olympics.com/en/athletes/kosuke-sugimoto,Kosuke SUGIMOTO,1,Beijing 2022,1994,,
https://olympics.com/en/athletes/brodie-summers,Brodie SUMMERS,3,Sochi 2014,1993,,
https://olympics.com/en/athletes/severi-vierela,Severi VIERELA,1,Beijing 2022,2001,,
https://olympics.com/en/athletes/marco-tade,Marco TADE,1,Beijing 2022,1995,,
https://olympics.com/en/athletes/william-feneley,William FENELEY,1,Beijing 2022,1999,,
