discipline_title,slug_game,event_title,event_gender,medal_type,participant_type,participant_title,athlete_full_name,country_name,country_code
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,Stefania CONSTANTINI,Italy,IT
Curling,beijing-2022,Mixed Doubles,Mixed,GOLD,GameTeam,Italy,Amos MOSANER,Italy,IT
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,Kristin SKASLIEN,Norway,NO
Curling,beijing-2022,Mixed Doubles,Mixed,SILVER,GameTeam,Norway,Magnus NEDREGOTTEN,Norway,NO
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,Almida DE VAL,Sweden,SE
Curling,beijing-2022,Mixed Doubles,Mixed,BRONZE,GameTeam,Sweden,Oskar ERIKSSON,Sweden,SE
Curling,beijing-2022,Women,Women,GOLD,GameTeam,Great Britain,,Great Britain,GB
Curling,beijing-2022,Women,Women,SILVER,GameTeam,Japan,,Japan,JP
Curling,beijing-2022,Women,Women,BRONZE,GameTeam,Sweden,,Sweden,SE
Curling,beijing-2022,Men,Men,GOLD,GameTeam,Sweden,,Sweden,SE
Curling,beijing-2022,Men,Men,SILVER,GameTeam,Great Britain,,Great Britain,GB
Curling,beijing-2022,Men,Men,BRONZE,GameTeam,Canada,,Canada,CA
Freestyle Skiing,beijing-2022,Men's Moguls,Men,SILVER,Athlete,,Mikael KINGSBURY,Canada,CA
Freestyle Skiing,beijing-2022,Men's Moguls,Men,GOLD,Athlete,,Walter WALLBERG,Sweden,SE
Freestyle Skiing,beijing-2022,Men's Moguls,Men,BRONZE,Athlete,,Ikuma HORISHIMA,Japan,JP
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,GOLD,Athlete,,Nico PORTEOUS,New Zealand,NZ
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,SILVER,Athlete,,David WISE,United States of America,US
Freestyle Skiing,beijing-2022,Men's Freeski Halfpipe,Men,BRONZE,Athlete,,Alex FERREIRA,United States of America,US
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,BRONZE,Athlete,,Henrik HARLAUT,Sweden,SE
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,GOLD,Athlete,,Birk RUUD,Norway,NO
Freestyle Skiing,beijing-2022,Men's Freeski Big Air,Men,SILVER,Athlete,,Colby STEVENSON,United States of America,US
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,BRONZE,Athlete,,Sergey RIDZIK,ROC,ROC
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,SILVER,Athlete,,Alex FIVA,Switzerland,CH
Freestyle Skiing,beijing-2022,Men's Ski Cross,Men,GOLD,Athlete,,Ryan REGEZ,Switzerland,CH
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,BRONZE,Athlete,,Mathilde GREMAUD,Switzerland,CH
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,GOLD,Athlete,,Ailing Eileen GU,People's Republic of China,CN
Freestyle Skiing,beijing-2022,Women's Freeski Big Air,Women,SILVER,Athlete,,Tess LEDEUX,France,FR
Freestyle Skiing,beijing-2022,Women's Moguls,Women,SILVER,Athlete,,Jaelin KAUF,United States of America,US
Freestyle Skiing,beijing-2022,Women's Moguls,Women,GOLD,Athlete,,Jakara ANTHONY,Australia,AU
Freestyle Skiing,beijing-2022,Women's Moguls,Women,BRONZE,Athlete,,Anastasiia SMIRNOVA,ROC,ROC
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,GOLD,GameTeam,United States,,United States of America,US
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,SILVER,GameTeam,China,,People's Republic of China,CN
Freestyle Skiing,beijing-2022,Mixed Team Aerials,Mixed,BRONZE,GameTeam,Canada,,Canada,CA
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,SILVER,Athlete,,Marielle THOMPSON,Canada,CA
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,GOLD,Athlete,,Sandra NAESLUND,Sweden,SE
Freestyle Skiing,beijing-2022,Women's Ski Cross,Women,BRONZE,Athlete,,Daniela MAIER,Germany,DE
Freestyle Skiing,beijing-2022,Men's Aerials,Men,BRONZE,Athlete,,Ilia BUROV,ROC,ROC
Freestyle Skiing,beijing-2022,Men's Aerials,Men,GOLD,Athlete,,Guangpu QI,People's Republic of China,CN
Freestyle Skiing,beijing-2022,Men's Aerials,Men,SILVER,Athlete,,Oleksandr ABRAMENKO,Ukraine,UA
Freestyle Skiing,beijing-2022,Women's Aerials,Women,SILVER,Athlete,,Hanna HUSKOVA,Belarus,BY
Freestyle Skiing,beijing-2022,Women's Aerials,Women,GOLD,Athlete,,Mengtao XU,People's Republic of China,CN
Freestyle Skiing,beijing-2022,Women's Aerials,Women,BRONZE,Athlete,,Megan NICK,United States of America,US
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,SILVER,Athlete,,Cassie SHARPE,Canada,CA
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,GOLD,Athlete,,Ailing Eileen GU,People's Republic of China,CN
Freestyle Skiing,beijing-2022,Women's Freeski Halfpipe,Women,BRONZE,Athlete,,Rachel KARKER,Canada,CA
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,SILVER,Athlete,,Ailing Eileen GU,People's Republic of China,CN
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,GOLD,Athlete,,Mathilde GREMAUD,Switzerland,CH
Freestyle Skiing,beijing-2022,Women's Freeski Slopestyle,Women,BRONZE,Athlete,,Kelly SILDARU,Estonia,EE
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,SILVER,Athlete,,Nicholas GOEPPER,United States of America,US
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,BRONZE,Athlete,,Jesper TJADER,Sweden,SE
Freestyle Skiing,beijing-2022,Men's Freeski Slopestyle,Men,GOLD,Athlete,,Alexander HALL,United States of America,US
Short Track Speed Skating,beijing-2022,Women's 500m,Women,SILVER,Athlete,,Suzanne SCHULTING,Netherlands,NL
Short Track Speed Skating,beijing-2022,Women's 500m,Women,BRONZE,Athlete,,Kim BOUTIN,Canada,CA
Short Track Speed Skating,beijing-2022,Women's 500m,Women,GOLD,Athlete,,Arianna FONTANA,Italy,IT
Short Track Speed Skating,beijing-2022,Men's 500m,Men,BRONZE,Athlete,,Steven DUBOIS,Canada,CA
Short Track Speed Skating,beijing-2022,Men's 500m,Men,GOLD,Athlete,,Shaoang LIU,Hungary,HU
Short Track Speed Skating,beijing-2022,Men's 500m,Men,SILVER,Athlete,,Konstantin IVLIEV,ROC,ROC
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,GOLD,GameTeam,Canada,,Canada,CA
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,SILVER,GameTeam,Republic of Korea,,Republic of Korea,KR
Short Track Speed Skating,beijing-2022,Men's 5000m Relay,Men,BRONZE,GameTeam,Italy,,Italy,IT
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,GOLD,GameTeam,People's Republic of China,,People's Republic of China,CN
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,SILVER,GameTeam,Italy,,Italy,IT
Short Track Speed Skating,beijing-2022,Team Relay,Mixed,BRONZE,GameTeam,Hungary,,Hungary,HU
