country_id,olympic_id,bronze,gold,silver,total
1,1,3,5,5,13
1,2,4,3,10,17
1,3,6,11,12,29
1,4,13,11,4,28
2,1,9,3,6,18
2,2,1,5,3,9
2,3,8,7,3,18
2,4,2,7,4,13
3,1,5,8,6,19
3,2,11,7,9,27
3,3,2,6,8,16
3,4,5,5,8,18
4,1,3,4,5,12
4,2,4,10,10,24
4,3,5,8,7,20
4,4,8,1,9,18
5,1,2,2,2,6
5,2,5,6,4,15
5,3,5,6,4,15
5,4,3,6,5,14
6,1,6,4,5,15
6,2,6,6,1,13
6,3,2,4,4,10
6,4,2,6,6,14
7,1,2,2,2,6
7,2,6,5,3,14
7,3,3,3,1,7
7,4,2,6,4,12
8,1,3,10,4,17
8,2,3,4,3,10
8,3,3,6,3,12
8,4,1,4,5,10
9,1,6,4,2,12
9,2,9,6,4,19
10,1,3,1,4,8
10,2,5,1,2,8
10,3,3,4,5,12
10,4,5,7,2,14
11,1,2,6,5,13
11,2,2,2,2,6
11,3,4,4,5,13
11,4,2,2,3,7
