match_date,home,away,minute,player,assist,event_type,team,referee,venue,attendance
2024-08-16,Manchester Utd,Fulham,18,Mason Mount,,yellow_card,Manchester Utd,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,40,Harry Maguire,,yellow_card,Manchester Utd,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,61,Alejandro Garnacho,,substitute_in,Manchester Utd,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,61,Joshua Zirkzee,,substitute_in,Manchester Utd,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,81,Jonny Evans,,substitute_in,Manchester Utd,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,81,Matthijs de Ligt,,substitute_in,Manchester Utd,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,84,Scott McTominay,,substitute_in,Manchester Utd,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,87,Joshua Zirkzee,Alejandro Garnacho,goal,Manchester Utd,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,25,Calvin Bassey,,yellow_card,Fulham,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,64,Tom Cairney,,substitute_in,Fulham,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,70,Andreas Pereira,,yellow_card,Fulham,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,73,Tom Cairney,,yellow_card,Fulham,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,78,Harry Wilson,,substitute_in,Fulham,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,78,Raúl Jiménez,,substitute_in,Fulham,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,91,Jay Stansfield,,substitute_in,Fulham,Robert Jones,Old Trafford,"73,297"
2024-08-16,Manchester Utd,Fulham,91,Harrison Reed,,substitute_in,Fulham,Robert Jones,Old Trafford,"73,297"
2024-08-17,Ipswich Town,Liverpool,6,Luke Woolfenden,,yellow_card,Ipswich Town,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,13,Omari Hutchinson,,yellow_card,Ipswich Town,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,24,Wes Burns,,yellow_card,Ipswich Town,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,57,Ben Johnson,,substitute_in,Ipswich Town,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,65,Marcus Harness,,substitute_in,Ipswich Town,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,65,Jack Taylor,,substitute_in,Ipswich Town,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,74,Ali Al Hamadi,,substitute_in,Ipswich Town,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,74,Sammie Szmodics,,substitute_in,Ipswich Town,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,46,Ibrahima Konaté,,substitute_in,Liverpool,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,60,Diogo Jota,Mohamed Salah,goal,Liverpool,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,65,Mohamed Salah,,goal,Liverpool,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,77,Conor Bradley,,substitute_in,Liverpool,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,79,Cody Gakpo,,substitute_in,Liverpool,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,79,Kostas Tsimikas,,substitute_in,Liverpool,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Ipswich Town,Liverpool,95,Cody Gakpo,,yellow_card,Liverpool,Tim Robinson,Portman Road Stadium,"30,014"
2024-08-17,Newcastle Utd,Southampton,9,Lewis Hall,,yellow_card,Newcastle Utd,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,28,Fabian Schär,,red_card,Newcastle Utd,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,30,Emil Krafth,,substitute_in,Newcastle Utd,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,45,Joelinton,Alexander Isak,goal,Newcastle Utd,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,70,Lloyd Kelly,,substitute_in,Newcastle Utd,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,70,Harvey Barnes,,substitute_in,Newcastle Utd,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,74,Dan Burn,,yellow_card,Newcastle Utd,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,28,Ben Brereton,,yellow_card,Southampton,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,48,Jack Stephens,,yellow_card,Southampton,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,46,Samuel Edozie,,substitute_in,Southampton,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,70,Cameron Archer,,substitute_in,Southampton,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,70,Tyler Dibling,,substitute_in,Southampton,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,73,Taylor Harwood-Bellis,,yellow_card,Southampton,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,81,Carlos Alcaraz,,substitute_in,Southampton,Craig Pawson,St James' Park,"52,196"
2024-08-17,Newcastle Utd,Southampton,81,Samuel Amo-Ameyaw,,substitute_in,Southampton,Craig Pawson,St James' Park,"52,196"
